PPN,genre-aad,originInfo-publication0_dateIssued,SprachcodesWinIBW
PPN668289767,{'Leichenpredigt'},1656,ger
PPN1047610892,"{'Ordensliteratur:Franziskaner', 'Streitschrift:theol.'}",1649,ger
PPN1701685183,,1902,ger
PPN684434679,{'Streitschrift:theol.'},1719,ger
PPN826267122,,1837,de
PPN795036205,,1529,ger
PPN737353244,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1640,ger
PPN844107840,{'Erbauungsliteratur'},1581,ger
PPN845578413,{'Flugschrift'},1524,ger
PPN820627011,,1585,ger
PPN1019265914,{'Flugschrift'},1697,"ger, fre"
PPN684355221,{'Flugschrift'},1628,ger
PPN1679051504,"{'Verordnung', 'Einblattdruck'}",1730,ger
PPN1689276339,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1721,ger
PPN100719880X,{'Katechismus'},1545,"ger, bat"
PPN728999196,"{'Gelegenheitsschrift:Einladung', 'Schulprogramm'}",1690,ger
PPN884085635,,1828,ger
PPN668477784,{'Liedersammlung'},1555,ger
PPN688064310,{'Leichenpredigt'},1651,ger
PPN767915968,{'Flugschrift'},1697,ger
PPN1001055896,{'Leichenpredigt'},1657,ger
PPN634709666,,1789,ger
PPN642354456,{'Leichenpredigt'},1667,ger
PPN880194707,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1728,ger
PPN663105390,"{'Satire', 'Drama'}",1799,ger
PPN1024358763,{'Flugschrift'},1644,ger
PPN845449648,"{'Gelegenheitsschrift:Einladung', 'Schulprogramm'}",1773,ger
PPN718105303,{'Anleitung'},1750,"ger, ita"
PPN821114875,{'Schulprogramm'},1796,ger
PPN880543000,"{'Medizin', 'Gesellschaftsschrift'}",1786,ger
PPN1067838066,"{'Verordnung', 'Einblattdruck'}",1730,ger
PPN737283998,{'Gelegenheitsschrift:Tod'},1705,ger
PPN1670664392,,1717,ger
PPN76628042X,,1848,ger
PPN749947985,,1577,ger
PPN795071604,{'Leichenpredigt'},1671,ger
PPN867462205,{'Leichenpredigt'},1613,ger
PPN63463416X,"{'Edikt', 'Einblattdruck'}",1772,ger
PPN779654048,{'Liedersammlung'},1798,ger
PPN716921456,{'Gelegenheitsschrift:Tod'},1660,ger
PPN848967038,"{'Lyrik', 'Streitschrift:theol.'}",1608,ger
PPN779987136,,1843,ger
PPN1680566628,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1710,"ger, lat"
PPN715585371,,1796,ger
PPN737601140,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1646,"lat, ger"
PPN880366605,{'Erbauungsliteratur'},1730,ger
PPN893887196,{'Erbauungsliteratur'},1736,ger
PPN688600077,"{'Verordnung', 'Einblattdruck', 'Geldwesen'}",1700,ger
PPN767832779,{'Lied'},1550,ger
PPN1043590595,{'Meßkatalog'},1613,"lat, ger"
PPN739274309,,1825,ger
PPN73767735X,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1726,ger
PPN689060904,"{'Ordensliteratur:Dominikaner', 'Brevier'}",1788,ger
PPN672327368,"{'Lyrik', 'Flugschrift', 'Brief', 'Streitschrift:polit.'}",1793,ger
PPN757661688,{'Roman'},1752,ger
PPN1686422660,{'Gelegenheitsschrift:Tod'},1676,ger
PPN767440676,,1914,ger
PPN1030932476,{'Festungsbau'},1812,ger
PPN818344075,"{'Rede', 'Schulprogramm'}",1782,ger
PPN1750088258,{'Leichenpredigt'},1712,ger
PPN1029474915,,1881,ger
PPN860411567,"{'Ordensliteratur:Jesuiten', 'Brief', 'Streitschrift:theol.'}",1655,ger
PPN1669529932,,1916,ger
PPN687868688,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1659,"ger, lat"
PPN1685797954,{'Flugschrift'},1717,ger
PPN769001335,,1917,ger
PPN755883497,,1918,ger
PPN819720437,,1562,ger
PPN1012158934,,1772,ger
PPN887476988,{'Leichenpredigt'},1667,ger
PPN688275117,{'Libretto'},1730,"ger, ita"
PPN838427340,{'Praktik'},1591,ger
PPN728128101,{'Kommentar: jur.'},1797,ger
PPN654803293,{'Predigt'},1717,ger
PPN1007503289,{'Predigt'},1736,ger
PPN746601441,{'Komödie'},1764,ger
PPN756641462,,1816,ger
PPN784281696,"{'Predigt', 'Gelegenheitsschrift:Jubiläum'}",1723,ger
PPN788435795,"{'Predigt', 'Gelegenheitsschrift:Einweihung'}",1615,ger
PPN767454014,{'Flugschrift'},1659,ger
PPN1009650114,{'Erzählung'},1788,ger
PPN687589347,"{'Gelegenheitsschrift:Tod', 'Leichenpredigt', 'Rede'}",1707,ger
PPN865828520,,1793,ger
PPN1010961179,"{'Biographie', 'Tagebuch'}",1910,ger
PPN75170685X,{'Drama'},1797,ger
PPN630070466,,1618,ger
PPN1669419967,{'Leichenpredigt'},1694,ger
PPN846651912,,1720,ger
PPN88895137X,,1800,ger
PPN1047637715,{'Gelegenheitsschrift:Tod'},1729,ger
PPN715707485,"{'Verordnung', 'Amtsdruckschrift'}",1697,ger
PPN747592853,,1773,ger
PPN751313513,,1582,ger
PPN737088826,{'Lied'},1560,ger
PPN847275167,"{'Lyrik', 'Gelegenheitsschrift:Tod', 'Einblattdruck'}",1672,ger
PPN1031849858,,1894,ger
PPN664758819,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1780,ger
PPN82794280X,{'Katechismus'},1565,ger
PPN780536517,"{'Flugschrift', 'Liedersammlung'}",1613,ger
PPN737150645,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1640,ger
PPN1022280309,{'Leichenpredigt'},1659,ger
PPN859638758,{'Streitschrift:theol.'},1625,ger
PPN71940360X,{'Libretto'},1785,"ita, ger, fre"
PPN71727733X,{'Traktat'},1761,ger
PPN795325258,"{'Flugschrift', 'Liedersammlung'}",1840,ger
PPN771920350,,1796,ger
PPN776712942,{'Flugschrift'},1789,ger
PPN631277765,"{'Predigt', 'Gelegenheitsschrift:Konversion', 'Judaicum'}",1713,ger
PPN1681509032,,1821,"ger, fre"
PPN751121495,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1669,ger
PPN687926637,{'Erbauungsliteratur'},1770,ger
PPN779693795,"{'Roman', 'Bücheranzeige'}",1775,"ger, eng"
PPN715322699,{'Gelegenheitsschrift:Tod'},1692,ger
PPN823768406,,1838,de
PPN684334860,,1835,"ger, fre"
PPN798012765,{'Flugschrift'},1549,ger
PPN84804777X,"{'Verordnung', 'Amtsdruckschrift'}",1537,ger
PPN833122886,{'Biographie'},1780,ger
PPN1046866443,{'Leichenpredigt'},1604,ger
PPN627850529,{'Brief'},1713,ger
PPN866270299,{'Leichenpredigt'},1684,ger
PPN1047367033,,1904,ger
PPN659042800,,1817,ger
PPN756401461,{'Auktionskatalog'},1769,ger
PPN861786343,{'Schreibmeisterbuch'},1792,ger
PPN175942398X,,1939,ger
PPN751183733,,1808,ger
PPN824474279,,1553,ger
PPN750713550,{'Liedersammlung'},1530,ger
PPN1002295106,{'Gelegenheitsschrift:Tod'},1719,ger
PPN675481228,{'Leichenpredigt'},1601,ger
PPN641663439,{'Edikt'},1752,ger
PPN62952551X,,1616,ger
PPN647482215,"{'Leichenpredigt', 'Epikedeion'}",1740,ger
PPN828119708,{'Flugschrift'},1550,ger
PPN823786412,{'Flugschrift'},1841,de
PPN885097165,{'Zeitschrift'},1695,ger
PPN739330039,"{'Lyrik', 'Gelegenheitsschrift:Abschied'}",1780,ger
PPN869652745,{'Leichenpredigt'},1615,ger
PPN746687281,{'Komödie'},1769,ger
PPN619856785,,1774,"ger, eng"
PPN638175259,{'Rede'},1741,ger
PPN798142219,,1524,ger
PPN840988451,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1714,ger
PPN86253013X,{'Lyrik'},1650,ger
PPN66213527X,{'Kriegskunde'},1756,ger
PPN702967343,{'Libretto'},1756,"ita, ger"
PPN655005749,{'Leichenpredigt'},1681,ger
PPN782279171,{'Katechismus'},1581,ger
PPN780031504,,1881,ger
PPN738524085,"{'Lyrik', 'Subskribentenliste'}",1779,ger
PPN697282910,"{'Gelegenheitsschrift:Hochzeit', 'Libretto'}",1797,"ger, ita"
PPN810900246,,1524,ger
PPN715707965,{'Universitätsprogramm'},1772,"lat, ger"
PPN898497108,"{'Werke', 'Erzählung'}",1912,ger
PPN891254927,,1793,ger
PPN717914674,{'Traktat'},1798,ger
PPN1686915195,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1678,ger
PPN1023476649,{'Gelegenheitsschrift:Namenstag'},1700,ger
PPN835386279,{'Leichenpredigt'},1664,ger
PPN1690242760,{'Gelegenheitsschrift:Tod'},1721,"ger, lat"
PPN783872402,{'Leichenpredigt'},1597,ger
PPN663922747,,1711,ger
PPN1002549477,,1919,ger
PPN867447052,{'Leichenpredigt'},1648,ger
PPN663930138,,1712,ger
PPN654938814,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1718,ger
PPN87017116X,{'Verordnung'},1744,ger
PPN824419030,,1559,ger
PPN687687276,{'Leichenpredigt'},1695,ger
PPN731514904,{'Epik'},1772,ger
PPN1011572028,{'Flugschrift'},1630,ger
PPN689704313,,1779,ger
PPN750756462,"{'Gelegenheitsschrift:Namenstag', 'Gelegenheitsschrift:Geburtstag', 'Lyrik'}",1681,ger
PPN1757637567,,1967,ger
PPN1677705248,"{'Flugschrift', 'Liedersammlung'}",1800,ger
PPN817680187,,1818,ger
PPN775151831,"{'Flugschrift', 'Lied'}",1656,ger
